4197	20940	0.00363
4197	20407	0.00363
1761	20408	0.010499
4317	25611	0.017699
33	25513	0.031447
1761	25115	0.010499
4197	24589	0.00363
2011	24211	0.004484
4298	22361	0.008621
5124	21311	0.051136
8608	25611	0.017699
4358	25513	0.031447
6729	25420	0.008097
5124	24223	0.051136
8518	24211	0.004484
9409	21311	0.051136
12873	25611	0.017699
8643	25513	0.031447
9409	24223	0.051136
12783	24211	0.004484
13670	21311	0.051136
17141	25611	0.017699
12908	25513	0.031447
15276	25420	0.008097
13670	24223	0.051136
21434	25611	0.017699
20535	25513	0.031447
21353	24211	0.004484
21311	27139	0.051136
25611	29896	0.017699
24223	27139	0.051136
24211	27011	0.004484
25570	26529	0.007105
25513	26366	0.031447
4150	4321	0.006173
3404	4319	0.014493
2728	4322	0.006849
3656	4320	0.01105
3973	4317	0.006369
653	4313	0.011364
4308	4311	0.258065
3272	4310	0.010256
1003	4308	0.013605
1418	4302	0.008772
4298	4301	0.018868
1327	4297	0.011696
278	4296	0.019841
3974	4292	0.007812
2709	4289	0.008403
2394	4288	0.022075
3156	4287	0.014493
3703	4286	0.021786
24	4283	0.015385
807	4280	0.006783
2001	4279	0.024444
1932	4277	0.0053
583	4276	0.007389
3816	4274	0.010638
919	4272	0.018966
1672	4268	0.006289
2074	4269	0.00995
2812	4266	0.005128
3217	4262	0.006536
820	4260	0.007407
3728	4256	0.006601
4021	4323	0.047546
2524	4253	0.009585
964	4247	0.007634
1726	4246	0.005495
3942	4245	0.007576
1808	4244	0.009195
2139	4251	0.006993
1760	4242	0.006977
2261	4250	0.020408
361	4249	0.00641
1759	4241	0.031915
542	4238	0.103367
2258	4239	0.003526
543	4237	0.192308
4210	4234	0.005848
400	4235	0.017045
2124	4252	0.009009
4079	4233	0.006329
2873	4232	0.002621
3519	4231	0.003906
3370	4230	0.008097
758	4225	0.030341
257	4222	0.00578
2627	4220	0.004878
1284	4221	0.007937
4035	4219	0.006383
3833	4218	0.005576
1295	4215	0.009862
1859	4216	0.006098
2833	4217	0.015432
155	4214	0.006042
941	4211	0.007317
4022	4210	0.653061
2428	4213	0.008152
2799	4208	0.005535
4023	4209	0.119946
4010	4207	0.006944
4203	4206	0.007143
3102	4204	0.003542
3906	4203	0.010563
3039	4202	0.016216
343	4201	0.007634
2426	4200	0.006742
280	4199	0.006647
342	4195	0.011976
4009	4196	0.017442
3471	4226	0.154982
1979	4191	0.008982
521	4194	0.007712
4050	4187	0.030979
3677	4186	0.021841
3442	4184	0.005348
2054	4182	0.011461
2385	4183	0.013187
3758	4179	0.006349
3911	4178	0.004975
4172	4176	0.114865
3561	4175	0.006803
491	4173	0.060177
3270	4171	0.006553
4058	4166	0.014019
3474	4164	0.055035
2148	4162	0.006842
3495	4161	0.004848
2393	4159	0.009772
4118	4158	0.008584
3836	4156	0.004199
3470	4155	0.034115
3469	4154	0.020891
4141	4153	0.008
1118	4152	0.008929
812	4151	0.008909
436	4149	0.006826
2957	4147	0.006369
4066	4145	0.008174
123	4144	0.007503
3228	4142	0.007519
3338	4143	0.004975
2291	4135	0.004144
2714	4134	0.651163
3429	4130	0.009547
1635	4128	0.010471
1727	4127	0.007194
4123	4124	0.015854
1720	4121	0.006849
2510	4117	0.012195
1658	4115	0.008547
996	4114	0.012048
1611	4113	0.010256
3552	4112	0.09466
3553	4111	0.066414
3554	4110	0.009434
4015	4109	0.00905
775	4107	0.007804
1211	4103	0.027174
2886	4100	0.036536
3907	4098	0.009217
2442	4095	0.010453
829	4094	0.00517
1810	4092	0.005006
1702	4091	0.009091
3213	4089	0.003937
2954	4086	0.005068
2692	4084	0.013142
986	4082	0.004908
3402	4078	0.006321
442	4076	0.011851
3571	4075	0.00939
3128	4074	0.004255
654	4072	0.02439
2270	4070	0.008734
2361	4067	0.011628
4064	4065	0.02439
1170	4064	0.009346
2087	4063	0.010929
559	4060	0.00823
2738	4058	0.012346
1244	4057	0.005044
3899	4054	0.00927
1410	4055	0.007527
1934	4052	0.005519
269	4053	0.00823
1947	4051	0.005607
3963	4048	0.021978
2993	4046	0.09589
2729	4045	0.010178
2386	4042	0.007143
3436	4041	0.007692
3910	4040	0.546341
3909	4039	0.5
3704	4038	0.003866
1248	4034	0.005487
3521	4033	0.004637
3092	4025	0.004468
2798	4024	0.00625
1121	4022	0.009569
65	4023	0.006211
3158	4020	0.034392
3160	4018	0.453744
3161	4016	0.321212
3162	4015	0.15873
4008	4017	0.015625
3163	4014	0.44898
3164	4012	0.265169
3165	4011	0.343409
3166	4010	0.380952
2894	4008	0.007576
2844	4009	0.013423
3173	4002	0.296912
3172	4003	0.715125
3174	4001	0.472574
3175	4000	0.696
3176	3999	0.388889
3177	3998	0.615385
3171	4004	0.436975
3179	3996	0.525346
3178	3997	0.252336
3180	3995	0.029787
3181	3994	0.112903
3182	3993	0.544444
3184	3991	0.283276
3183	3992	0.476923
3185	3990	0.292135
3186	3989	0.560209
3188	3987	0.251511
1258	3986	0.009901
3193	3984	0.453861
3510	3985	0.005602
3195	3982	0.324138
3194	3983	0.653465
3196	3981	0.25
3197	3980	0.032961
3198	3979	0.353448
3199	3978	0.45674
3200	3977	0.096774
437	3976	0.010695
674	3974	0.014563
1885	3975	0.085492
3971	3972	0.005085
3145	3971	0.005576
2414	3969	0.009174
798	3967	0.00813
347	3966	0.013793
3207	3963	0.00527
546	3962	0.048593
547	3961	0.063719
3771	3960	0.005
1803	3959	0.006515
2023	3957	0.006964
1799	3954	0.010345
2649	3952	0.003902
3432	3953	0.008032
2929	3950	0.006098
1883	3947	0.007692
2699	3946	0.009302
3835	3945	0.007547
2893	3943	0.00722
1665	3942	0.007059
2175	3941	0.005391
2917	3940	0.006452
1451	3937	0.006085
2237	3936	0.006309
3546	3934	0.00565
3373	3933	0.008955
2776	3930	0.007143
3082	3931	0.007143
139	3929	0.009862
3683	3928	0.004723
1391	3926	0.003812
3856	3925	0.205575
3600	3924	0.007692
1561	3922	0.017147
3834	3919	0.008439
2089	3918	0.007264
3417	3917	0.006633
3233	3916	0.015038
3765	3915	0.013423
3847	3913	0.043231
1247	3909	0.01227
2572	3908	0.01049
3399	3906	0.005545
1559	3907	0.00565
1334	3904	0.020779
556	3903	0.01002
2110	3901	0.00905
44	3900	0.008197
1411	3898	0.407503
325	3899	0.006502
3482	3897	0.0076
1539	3895	0.005256
2406	3892	0.008018
2876	3890	0.023641
2868	3891	0.00464
951	3889	0.006274
2448	3887	0.006529
3627	3884	0.01083
3606	3880	0.009434
1937	3877	0.009926
335	3874	0.015164
3397	3872	0.005097
1864	3871	0.008043
2303	3870	0.007273
2685	3869	0.006803
